################################################################################
IN SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
PRED DIST: 	 [0.046500668, 0.4672443, 0.017309768, 0.0012025515, 0.060139596, 0.00044905828, 0.0002458624, 0.0017526312, 0.0063379784, 0.0008413066, 0.00012842266, 0.0025741581, 0.020493206, 0.009622631, 0.00016896323, 0.00091423385, 0.0012836051, 0.09987602, 0.0002803737, 0.0023341887, 0.00025874644, 4.322252e-05, 0.00044336717, 0.0033659376, 0.0013826025, 0.00042072698, 0.022346059, 0.0011954859]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'patient', 'protection', 'if']]
################################################################################
IN SEQ: 	 b'would you vote for president trump if he runs again ?'
GOLD SEQ: 	 b'would you vote for president trump if he runs again ?'
PRED SEQ:	 b'would you vote for president trump if he runs again ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06899984, 0.53550243, 0.005212282, 0.0005309418, 0.19946164, 0.016856384, 0.0022945649, 0.06778675, 0.065544516, 0.02822486, 0.0047020465]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'has donald trump finally made peace with the us presidential election results , or does he still hold gr ##udge ##s ?'
GOLD SEQ: 	 b'has donald trump finally made peace with the us presidential election results , or does he still hold gr ##udge ##s ?'
PRED SEQ:	 b'has donald trump made peace with the us presidential election results , or does he still hold gr ##udge ##s ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.014185456, 0.00062467874, 3.7235608e-05, 0.60469663, 0.004957675, 0.017080985, 0.00018597132, 0.00023960097, 0.000925261, 7.952196e-05, 3.2745145e-05, 0.00036697817, 1.8927494e-05, 0.0028625764, 0.007056618, 0.09574175, 0.025541726, 0.001184702, 0.025844613, 0.0108089065, 0.04242721, 0.0015393896]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what would the us look like today if john mccain had won 2008 election , mit ##t romney had won 2012 election and donald trump had won 2020 election ?'
GOLD SEQ: 	 b'what would the us look like today if john mccain had won 2008 election , mit ##t romney had won 2012 election and donald trump had won 2020 election ?'
PRED SEQ:	 b'what would the us look like today if john mccain had won 2008 election , mit ##t romney had won 2012 election and donald trump had won 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.17983976, 0.053096212, 0.015013966, 0.054005157, 0.122976944, 0.045961566, 0.061209675, 0.011797239, 0.002201045, 0.00090553757, 0.003161642, 0.012700829, 0.0032710836, 0.014957578, 0.00066882855, 0.0008724403, 0.00045015657, 0.00023459952, 0.008240523, 0.01530667, 0.0043419865, 0.017655551, 0.00238902, 0.0022449498, 0.00068946165, 0.004740032, 0.02136044, 0.018531416, 0.013122314, 0.020265983]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you miss donald trump in 2021 ?'
GOLD SEQ: 	 b'do you miss donald trump in 2021 ?'
PRED SEQ:	 b'do you miss donald trump in 2021 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.034163002, 0.40253213, 0.6385135, 0.00023809499, 9.4917435e-05, 0.00039492975, 0.0007375842, 0.0013455513]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how can donald trump better his position in the 202 ##4 election ?'
GOLD SEQ: 	 b'how can donald trump better his position in the 202 ##4 election ?'
PRED SEQ:	 b'how can donald trump better his position in the 202 ##4 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15948832, 0.0735638, 0.0017692476, 0.0007142342, 0.32531884, 0.08483615, 0.024637258, 0.00031650238, 0.0015259645, 0.0012046157, 0.0004851965, 0.012469384, 0.010088124]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you think candace owens should run for presidency in 202 ##4 ?'
GOLD SEQ: 	 b'do you think candace owens should run for presidency in 202 ##4 ?'
PRED SEQ:	 b'do you think candace owens should run for presidency in 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1578081, 0.5071837, 0.13714428, 0.002412686, 0.0001626368, 0.1187803, 0.004803304, 0.00015486701, 0.113015406, 0.0002676869, 0.012484603, 0.00010833409, 0.002072887]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if bill we ##ld defeated donald trump in the 2020 republican primaries , would he have defeated joe bid ##en in the general election ?'
GOLD SEQ: 	 b'if bill we ##ld defeated donald trump in the 2020 republican primaries , would he have defeated joe bid ##en in the general election ?'
PRED SEQ:	 b'if bill we ##ld defeated donald trump in the 2020 republican primaries , would he have defeated joe bid ##en in the general election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.089706056, 0.0018698232, 0.00010810758, 0.0001913833, 0.08213499, 0.000103932274, 3.68377e-05, 1.36061235e-05, 7.1746734e-05, 0.001388744, 0.004122895, 0.00038998568, 0.00040692382, 0.188468, 0.021507062, 0.026800461, 0.057644587, 7.269388e-05, 5.9691676e-05, 4.4431148e-05, 1.6355027e-05, 3.516187e-05, 0.00027285816, 3.0067033e-05, 0.02037236]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"could joe bid ##en ' s approval rating be over ##est ##imated like his poll leads were in 2020 ?"
GOLD SEQ: 	 b"could joe bid ##en ' s approval rating be over ##est ##imated like his poll leads were in 2020 ?"
PRED SEQ:	 b"could joe bid ##en ' s approval rating be over ##est ##imated like his poll leads were in 2020 ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08473762, 0.00094489317, 4.147221e-05, 2.2703682e-05, 0.00011685804, 0.00065271696, 0.0015064821, 0.0002313961, 0.7158275, 0.17297536, 0.04601608, 0.057047587, 0.0014108581, 0.0023705482, 0.00075832027, 0.00839959, 0.00211851, 0.000796927, 0.0013589406, 0.0012565425]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'when joe bid ##en finishes his 1st term in 202 ##4 , do you think he will have an above average , average , or below average approval rating , and why ?'
GOLD SEQ: 	 b'when joe bid ##en finishes his 1st term in 202 ##4 , do you think he will have an above average , average , or below average approval rating , and why ?'
PRED SEQ:	 b'when joe bid ##en finishes his 1st term in 202 ##4 , do you think he will have an above average , average , or below average approval rating , and why ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.017080514, 0.00071855343, 0.00035299224, 8.388861e-05, 0.026979493, 0.0019497038, 0.18589936, 0.0028509977, 0.00027140527, 0.0018048537, 8.155299e-05, 0.00014587745, 0.0029864386, 0.08768612, 0.014046031, 0.06385045, 0.039440915, 0.004699342, 0.0010483618, 0.031814612, 0.005237443, 6.92458e-05, 0.016728813, 2.3704697e-05, 0.0016006541, 0.01534785, 0.034531012, 0.018282048, 0.0013267007, 2.7483142e-05, 0.000900297, 0.016340068, 0.0006403521]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you think that donald trump will be successful in " re ##brand ##ing " his " big lie " that there was massive voter fraud in the 2020 presidential election in to one that labels it as the democrats telling the " big lie " that there wasn \' t ?'
GOLD SEQ: 	 b'do you think that donald trump will be successful in " re ##brand ##ing " his " big lie " that there was massive voter fraud in the 2020 presidential election in to one that labels it as the democrats telling the " big lie " that there wasn \' t ?'
PRED SEQ:	 b'do you think that donald trump will be successful in " re ##brand ##ing " his " big lie " that there was voter fraud in the 2020 presidential election in to one that labels it as the democrats telling the " big lie " that there wasn \' t ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.011139245, 0.039766338, 0.02671987, 0.00010337481, 0.00016342168, 2.0027232e-05, 0.0019950392, 7.147624e-05, 0.001812223, 6.4163264e-06, 6.521671e-06, 0.00013590047, 0.0002697588, 0.00014322816, 6.0908574e-06, 0.1505575, 0.00023989628, 0.0033340172, 0.020044936, 3.9758368e-05, 0.0009805079, 6.652638e-05, 0.00013321864, 0.39672086, 0.0017445666, 0.0016685653, 1.5345382e-05, 2.7064578e-05, 8.3591e-05, 3.4323337e-05, 1.988139e-05, 0.0011145205, 0.0015153924, 0.00044013272, 0.0022328163, 0.014349004, 4.5019427e-05, 1.8991863e-05, 0.0013776749, 0.0044243587, 0.00025680973, 7.1871575e-05, 6.1265982e-06, 0.00046718327, 0.00020208569, 8.524141e-06, 7.056151e-05, 4.6315694e-05, 0.00012042781, 5.078032e-05, 3.0478503e-05, 0.00031550307]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what are the top inappropriate rob ##lo ##x games in 2020 ?'
GOLD SEQ: 	 b'what are the top inappropriate rob ##lo ##x games in 2020 ?'
PRED SEQ:	 b'what are the top rob ##lo ##x games in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.3340785e-05, 8.871566e-06, 3.753347e-06, 0.00020416889, 0.9969951, 3.4007933e-06, 1.882419e-06, 1.5465649e-06, 3.2183857e-06, 2.2292725e-06, 3.1149316e-06, 3.8498592e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'will joe bid ##en and kamal ##a harris actually undo the anti - immigrant policies of the trump years ?'
GOLD SEQ: 	 b'will joe bid ##en and kamal ##a harris actually undo the anti - immigrant policies of the trump years ?'
PRED SEQ:	 b'will joe bid ##en and kamal ##a harris ##a harris undo ##cum ##ented undo ##or ##per ##ate the anti - immigrant policies of the trump years ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00018755262, 1.9234956e-06, 1.6780998e-06, 1.7303943e-06, 4.650079e-06, 4.3862838e-06, 2.655209e-06, 2.375142e-06, 0.5067306, 0.2092976, 0.00018056248, 0.0137153445, 0.011427434, 0.044309206, 2.7279131e-05, 6.451651e-06, 2.9827668e-06, 1.5659087e-05, 7.704172e-06, 3.655602e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['##a', 'harris'], ['##cum', '##ented', 'undo', '##or', '##per', '##ate']]
################################################################################
IN SEQ: 	 b'every time i see mcconnell and now trump again on tv , they are absolutely opposed to any infrastructure or investment in the usa as in 4 years they did nothing , now they oppose everything bid ##en is doing ?'
GOLD SEQ: 	 b'every time i see mcconnell and now trump again on tv , they are absolutely opposed to any infrastructure or investment in the usa as in 4 years they did nothing , now they oppose everything bid ##en is doing ?'
PRED SEQ:	 b'every time i see mcconnell and now trump again on tv , they are opposed to any infrastructure or investment in the usa as in 4 years they did nothing , now they oppose everything bid ##en is doing ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.000575948, 0.00014537436, 0.0008154021, 0.00011666097, 0.00091385975, 2.48707e-05, 0.020181207, 0.0013493258, 0.001318931, 7.3691976e-05, 0.0027119736, 1.4348269e-05, 0.017726216, 0.006744823, 0.6318437, 0.00067448325, 5.4125085e-05, 0.07717777, 0.0018165056, 0.00011267859, 0.0033364014, 0.000111585396, 0.0004163601, 0.0173777, 0.006348901, 2.5567342e-05, 0.00096719334, 5.544534e-05, 0.0032686857, 0.0012745702, 0.009040715, 1.0835639e-05, 0.0011405748, 0.0030171003, 0.005799568, 0.008838161, 0.0015583304, 0.0003601467, 0.0011547827, 0.0030235504, 0.00014944673]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'can the arizona audit in any way change the results of the 2020 us presidential elections ?'
GOLD SEQ: 	 b'can the arizona audit in any way change the results of the 2020 us presidential elections ?'
PRED SEQ:	 b'can the arizona audit in any way change the results of the 2020 us presidential elections ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.29271528, 0.03085895, 0.0107851075, 0.23735784, 0.014759467, 0.0827531, 0.027157847, 0.0866766, 8.1245606e-05, 0.001407203, 1.4056643e-05, 0.00032567326, 0.007971975, 0.003047477, 0.0005156282, 0.0008876142, 0.045038845]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'will trump run again in 202 ##4 ?'
GOLD SEQ: 	 b'will trump run again in 202 ##4 ?'
PRED SEQ:	 b'will trump run again in 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.16556698, 0.10402286, 0.19762613, 0.16483237, 0.0001304894, 0.0028027827, 0.00022469086, 0.15605466]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is it true that only professional politicians win consistently ?'
GOLD SEQ: 	 b'is it true that only professional politicians win consistently ?'
PRED SEQ:	 b'is it true that only professional politicians win consistently ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06365991, 0.029505301, 0.19217625, 0.0002605024, 0.08540252, 0.3248655, 0.1474931, 0.043690205, 0.06604667, 0.017569713]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"why shouldn ' t trump run in 202 ##4 ?"
GOLD SEQ: 	 b"why shouldn ' t trump run in 202 ##4 ?"
PRED SEQ:	 b"why shouldn ' t trump run in 202 ##4 ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5425493, 0.2692407, 5.903563e-05, 7.8465426e-05, 0.0022076073, 0.03420397, 8.703017e-05, 0.0012549482, 5.058163e-05, 0.005720103]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"why does joe bid ##en ' s 100 - day approval rating only beat donald trump and gerald ford ?"
GOLD SEQ: 	 b"why does joe bid ##en ' s 100 - day approval rating only beat donald trump and gerald ford ?"
PRED SEQ:	 b"why does joe bid ##en ' s 100 - day approval rating beat donald trump and gerald ford ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0052888696, 0.0016718378, 1.1011649e-05, 5.7784137e-06, 5.170772e-06, 6.674277e-06, 1.4508596e-05, 0.00030465165, 5.4323853e-05, 0.00068070646, 0.0020080428, 2.2545273e-05, 0.4612302, 0.09859211, 3.6297228e-05, 1.1166765e-05, 5.277981e-05, 1.4716988e-05, 8.731611e-06, 0.0004747036]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how many republican senators and representatives actually believe trump won in 2020 ?'
GOLD SEQ: 	 b'how many republican senators and representatives actually believe trump won in 2020 ?'
PRED SEQ:	 b'how many republican senators and representatives believe trump won in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.005836288, 0.036835313, 0.010084829, 2.0929298e-05, 4.1282547e-06, 3.412728e-05, 0.73088104, 0.088287525, 0.00066132826, 0.0041270438, 0.000103941595, 0.00053461513, 0.0010686473]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who is the most credible person or organization claiming that the 2020 election was stolen ?'
GOLD SEQ: 	 b'who is the most credible person or organization claiming that the 2020 election was stolen ?'
PRED SEQ:	 b'who is the most credible person or organization claiming that the 2020 election was stolen ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0026151226, 0.0076950095, 0.0010824017, 0.004289849, 0.050449632, 0.00045017092, 3.2571923e-05, 0.00052271265, 0.28190017, 3.635716e-05, 3.892877e-05, 0.00034381225, 0.00016230698, 0.006724489, 0.32950982, 0.000848905]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"why is the federal office of government ethics refusing to approve rapper kanye west ' s financial disclosure forms from his failed 2020 presidential campaign ?"
GOLD SEQ: 	 b"why is the federal office of government ethics refusing to approve rapper kanye west ' s financial disclosure forms from his failed 2020 presidential campaign ?"
PRED SEQ:	 b"why is the federal office of government ethics refusing to approve rapper kanye west ' s financial disclosure forms from his 2020 presidential campaign ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00032559226, 4.2744778e-05, 2.0758805e-06, 1.8110854e-06, 9.245347e-07, 8.322627e-07, 9.2215896e-07, 1.0019129e-06, 0.0023626867, 1.8098838e-06, 7.3382296e-05, 9.891211e-05, 2.1537296e-06, 1.0953644e-06, 9.780616e-07, 1.2729345e-06, 1.5068106e-06, 1.3236058e-06, 2.536827e-06, 4.3901464e-06, 0.00022184897, 0.9952685, 3.472696e-05, 4.123832e-06, 3.0155618e-06, 2.2892353e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what would it take for you to believe that trump actually won the 2020 election ?'
GOLD SEQ: 	 b'what would it take for you to believe that trump actually won the 2020 election ?'
PRED SEQ:	 b'what would it take for you to believe that trump won the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.005574488, 0.00038912543, 3.458976e-05, 0.00043889385, 7.253137e-05, 0.2806932, 2.6805812e-05, 0.027483497, 0.0001367214, 0.0046498748, 0.29388303, 0.009941974, 0.00012836156, 0.00078483194, 0.00042749426, 0.00019033164]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you think joe bid ##en trusts kamal ##a harris ?'
GOLD SEQ: 	 b'do you think joe bid ##en trusts kamal ##a harris ?'
PRED SEQ:	 b'do you think joe bid ##en trusts kamal ##a harris ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03143228, 0.108420566, 0.13213201, 5.8189406e-05, 3.8232465e-05, 1.4640304e-05, 0.46606657, 0.0004694477, 0.0005417991, 9.910056e-05, 0.0010370334]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'have we had an investigation into the 2020 election like we did in 2016 with the mueller come ##y reports ?'
GOLD SEQ: 	 b'have we had an investigation into the 2020 election like we did in 2016 with the mueller come ##y reports ?'
PRED SEQ:	 b'have we had an investigation into the 2020 election like we did in 2016 with the mueller reports ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.483089e-05, 0.00044970817, 3.7538625e-06, 4.496399e-06, 3.6521244e-06, 2.1172575e-06, 1.4705165e-06, 8.039786e-06, 4.7405542e-06, 3.8284406e-06, 5.4673048e-05, 5.1089905e-06, 2.2310612e-06, 5.3266826e-06, 3.972779e-06, 5.016304e-06, 0.0001204285, 0.99617505, 0.9949066, 3.201904e-05, 1.0403765e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"how will the go ##p ' s almost complete cap ##it ##ulation to donald trump since the 2020 election effect the parties electoral future at the national level ?"
GOLD SEQ: 	 b"how will the go ##p ' s almost complete cap ##it ##ulation to donald trump since the 2020 election effect the parties electoral future at the national level ?"
PRED SEQ:	 b"how will the go ##p ' s almost complete cap ##it ##ulation to donald trump since the 2020 election effect the parties electoral future at the national level ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.048464704, 0.016931161, 8.5726766e-05, 0.0011363254, 0.00037860975, 4.20659e-05, 0.00022162271, 0.48130438, 0.14948522, 0.003840135, 0.0004064516, 0.015198339, 0.00041158276, 0.0003629705, 0.00010645333, 0.015225181, 0.00019674406, 0.0005935696, 0.0005667744, 0.090459935, 0.013648802, 0.016193973, 0.014754973, 0.056318488, 8.2713465e-05, 6.6314824e-05, 0.019542547, 4.2977637e-05, 0.0029146522]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who invented presidential staircase boxing , and what were the results of the first bout ?'
GOLD SEQ: 	 b'who invented presidential staircase boxing , and what were the results of the first bout ?'
PRED SEQ:	 b'who invented presidential staircase boxing , and what were the results of the first bout ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11629767, 0.54815525, 0.016625857, 0.027960602, 0.0028620875, 2.0740243e-05, 0.0008565671, 0.012631609, 0.008340474, 0.00014886432, 0.00030638592, 9.432332e-06, 2.0722706e-05, 0.0003604216, 0.000779956, 0.019530425]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if you voted for donald trump or know someone who voted for him in the 2020 u . s . presidential elections , do you agree with this piece saying that trump \' s most dedicated supporters are " cooling out " and that " a lot of people have felt abandoned " ?'
GOLD SEQ: 	 b'if you voted for donald trump or know someone who voted for him in the 2020 u . s . presidential elections , do you agree with this piece saying that trump \' s most dedicated supporters are " cooling out " and that " a lot of people have felt abandoned " ?'
